SUBJECT,nclusters2Min,avgclustersize2Min
11141,8,3.875
13142,7,7.714285714285714
12971,0,0
12390,6,4.166666666666667
11611,6,4.833333333333333
12398,9,4.777777777777778
12717,4,3.75
12316,3,22.666666666666668
13151,4,6.5
12608,6,7.5
11035,5,8.6
13128,6,8.0
11136,15,3.466666666666667
13304,0,0
13293,7,7.142857142857143
12612,3,8.333333333333334
12520,6,4.5
911429,7,5.571428571428571
12297,10,2.7
12683,7,7.285714285714286
13604,0,0
11037,3,6.333333333333333
11036,11,4.818181818181818
13044,4,4.25
12547,10,4.5
12878,7,5.714285714285714
13131,0,0
11200,0,0
12828,7,7.428571428571429
911401,0,0
911343,2,7.5
12409,4,6.5
13326,0,0
13191,7,4.0
13503,11,3.4545454545454546
13648,8,4.5
12095,0,0
13079,9,5.666666666666667
11417,8,5.0
11003,5,5.2
13081,8,5.375
11011,2,8.5
13061,7,7.142857142857143
13628,0,0
12959,8,5.5
12417,0,0
13069,4,4.25
11009,12,5.25
11655,3,7.333333333333333
12840,0,0
11743,9,3.4444444444444446
12737,0,0
11014,5,6.0
11070,6,4.833333333333333
11327,6,4.666666666666667
12830,10,3.6
